Number,Reference,DOI,Year,Country_or_Region,Global South,Family,Networks,Links_EE,Links_SS,Links_SE,Links_detail,Nodes_EE,Nodes_SS,Mode,Weight
1,Ancilloto et al 2012,10.1111/j.1439-0310.2011.02016.x,2012,Italy,No,Vespertilionidae,Not SEN,Social interactions,NA,NA,"Social, behavior",Newborn bats in their rearing groups,NA,One-mode,Weighted
2,Andrade et al 2013,10.1644/12-MAMM-A-244.1,2013,Brazil,Yes,Phyllostomidae,Not SEN,Mutualistic interactions,NA,NA,Frugivory and Seed dispersal,Bats and plants. Unipartite projection with niche overlap of bats' diet,NA,Both,Weighted
3,Carter and Wilkinson 2016,10.1098/rspb.2012.2573,2016,USA,No,Phyllostomidae,Not SEN,Social interactions,NA,NA,"Social, behavior",20 Desmodus rotundus in captivity,NA,One-mode,Both
4,Chaverri 2010,10.1007/s00265-010-0975-3,2010,Costa Rica,Yes,Thyropteridae,Not SEN,Use of space,NA,NA,"Social, shared roosts",Individuals of Thyroptera tricolor,NA,One-mode,Binary
5,Cisneros et al 2014,10.1111/1365-2656.12299,2014,Costa Rica,Yes,Phyllostomidae,Not SEN,Metacommunities,NA,NA,Shared species in space,Bat species and sampled areas,NA,Two-mode,Binary
6,Fortuna et al 2009,10.1890/08-0174.1,2009,Spain,No,Vespertilionidae,Not SEN,Use of space,NA,NA,"Social, shared roosts","Individual bats and trees, and trees unipartite projections",NA,Both,Binary
7,García-García et al 2014,10.1177/194008291400700307,2014,Mexico,Yes,Phyllostomidae,Not SEN,Metacommunities,NA,NA,Shared species in space,Bat species and sampled areas,NA,Two-mode,Binary
8,Johnson et al 2012,10.1644/12-MAMM-A-097.1,2012,USA,No,Vespertilionidae,Not SEN,Use of space,NA,NA,"Social, shared roosts",Bats and tres used as day-roosts,NA,Both,Both
9,Kerth et al 2011,10.1098/rspb.2010.2718,2011,Germany,No,Vespertilionidae,Not SEN,Use of space,NA,NA,"Social, shared roosts","Individuals of Myotis bechsteinii from two colonies (one with 11-18 bats, and other with 33-42 bats) along 150 bat boxes and 10 tree cavities",NA,One-mode,Weighted
10,Loayza and Loiselle 2009,10.1644/08-MAMM-A-213R.1,2009,Bolivia,Yes,Phyllostomidae,Not SEN,Metacommunities,NA,NA,Shared species in space,Bat species and sampled areas (Continuous forest and forest islands),NA,Two-mode,Binary
11,Luis et al 2015,10.1111/ele.12491,2015,Global,Yes,Phyllostomidae,Not SEN,Host-pathogen interactions,NA,NA,Shared viruses,Bat and rodent host species,NA,Both,Weighted
12,Mello et al 2011a,10.1371/journal.pone.0017395,2011,Neotropical,Yes,Phyllostomidae,Not SEN,Mutualistic interactions,NA,NA,Frugivory and Seed dispersal,Bats and plants,NA,Two-mode,Binary
13,Mello et al 2011b,10.1007/s00442-011-1984-2,2011,Neotropical,Yes,Phyllostomidae,Not SEN,Mutualistic interactions,NA,NA,Frugivory and Seed dispersal,"Bats, Birds and Plants",NA,One-mode,Binary
14,Mello et al 2015,10.1111/oik.01613,2015,Neotropical,Yes,Phyllostomidae,Not SEN,Mutualistic interactions,NA,NA,Frugivory and Seed dispersal,"Bats, Birds and plants, and animals unipartite projections in 15 networks from Neotropics",NA,Both,Binary
15,Meyer and Kalko 2008,10.1111/j.1472-4642.2007.00462.x,2008,Panama,Yes,Phyllostomidae,Not SEN,Metacommunities,NA,NA,Shared species in space,20 Bat species and 11 islands,NA,Two-mode,Both
16,Muylaert et al 2013,10.1515/mammalia-2012-0103,2013,Brazil,Yes,Phyllostomidae,Not SEN,Mutualistic interactions,NA,NA,Frugivory and Seed dispersal,Individual Sturnira lilium bats and plants,NA,Two-mode,Weighted
17,Muylaert et al 2016,10.1890/15-1757.1,2016,Brazil,Yes,Phyllostomidae,Not SEN,Metacommunities,NA,NA,Shared species in space,31 Bat species and 15 landscapes,NA,Two-mode,Binary
18,Ortega and Maldonado 2006,10.3161/1733-5329(2006)8[485:FIIHGO]2.0.CO;2,2006,Mexico,Yes,Phyllostomidae,Not SEN,Social interactions,NA,NA,"Social, behavior",Individual Artibeus jamaicensis bats in their respsective harem groups.,NA,One-mode,Binary
19,Patriquin et al 2010,10.1007/s00265-010-0905-4,2010,Canada,No,Vespertilionidae,Not SEN,Use of space,NA,NA,"Social, shared roosts",Female individuals of Myotis septentrionalis,NA,One-mode,Weighted
20,Patterson et al 2009,10.1111/j.1600-0587.2008.05727.x,2009,Neotropical,Yes,Phyllostomidae,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,Individual bats and fly species,NA,Two-mode,Binary
21,Presley and Willig 2008,10.1111/j.1466-8238.2008.00412.x,2008,Bahamas and Greater Antilles and Lesser Antilles,Yes,Phyllostomidae,Not SEN,Metacommunities,NA,NA,Shared species in space,Bat species and sampled areas,NA,Two-mode,Binary
22,Presley et al 2011,10.1111/j.1466-8238.2011.00738.x,2011,Peru,Yes,Phyllostomidae,Not SEN,Metacommunities,NA,NA,Shared species in space,Bat species and sampled areas,NA,Two-mode,Binary
