Authors;Title;Year;Journal;Volume;Issue;Cited by;DOI;Link;Affiliations;Language of Original Document;Document Type;Publication Stage;Open Access;Source
"Calvo-Serrano S.; Matamoros E.; Céspedes J.A.; Fernández-Santamaría R.; Gil-Ocaña V.; Perez-Inestrosa E.; Frecha C.; Montañez M.I.; Vida Y.; Mayorga C.; Torres M.J.";New Approaches for Basophil Activation Tests Employing Dendrimeric Antigen–Silica Nanoparticle Composites;2024;Pharmaceutics;16;8;0;10.3390/pharmaceutics16081039;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202577570&doi=10.3390%2fpharmaceutics16081039&partnerID=40&md5=e8f691be534a581b33abb276a89c1b5c;"Allergy Research Group, Instituto de Investigación Biomédica de Málaga y Plataforma en Nanomedicina—IBIMA Plataforma Bionand, Parque Tecnológico de Andalucía, Málaga, 29590, Spain; RICORS Red de Enfermedades Inflamatorias (REI), Madrid, 28029, Spain; Departamento de Medicina y Dermatología, Universidad de Málaga, Málaga, 29071, Spain; Departamento de Química Orgánica, Universidad de Málaga, Campus Teatinos s/n, Málaga, 29071, Spain; Instituto de Investigación Biomédica de Málaga y Plataforma en Nanomedicina—IBIMA Plataforma Bionand, Parque Tecnológico de Andalucía, Málaga, 29590, Spain; Allergy Unit, Hospital Regional Universitario de Málaga-HRUM, Málaga, 29010, Spain";English;Article;Final;"All Open Access; Gold Open Access";Scopus
"Supriya J.P.; Shetty S.; Shetty R.; Nayak R.; Maddasani S.; Hegde A.";Quantitative and deep learning based fourier transform infrared radiation and tensile characteristics study on chemically treated hibiscus rosa-sinensis plant fibers;2024;Materials Research Express;11;7;0;10.1088/2053-1591/ad61c0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199536497&doi=10.1088%2f2053-1591%2fad61c0&partnerID=40&md5=f74699d4da5fda418f23029f8599e3f4;"Department of Mechanical and Industrial Engineering, Manipal Institute of Technology, Manipal Academy of Higher Education, Manipal, 576104, India; Department of Chemistry, Manipal Institute of Technology, Manipal Academy of Higher Education, Manipal, 576104, India";English;Article;Final;"All Open Access; Gold Open Access";Scopus
"Li L.; Wang Z.; Zhu J.; Ma S.";Smartphone-Based Task Scheduling in UAV Networks for Disaster Relief;2024;Electronics (Switzerland);13;15;0;10.3390/electronics13152903;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200763035&doi=10.3390%2felectronics13152903&partnerID=40&md5=c068270c3ce5412fa50ddc59de30ad69;"School of Computer and Information Engineering, Tianjin Normal University, Tianjin, 300382, China; Yangtze Delta Region Institute (Quzhou), University of Electronic Science and Technology of China, Quzhou, 324000, China";English;Article;Final;"All Open Access; Gold Open Access";Scopus
"Olivares R.; Salinas O.; Ravelo C.; Soto R.; Crawford B.";Enhancing the Efficiency of a Cybersecurity Operations Center Using Biomimetic Algorithms Empowered by Deep Q-Learning;2024;Biomimetics;9;6;0;10.3390/biomimetics9060307;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197930390&doi=10.3390%2fbiomimetics9060307&partnerID=40&md5=d139b3ac30a088584df61687d50035da;"Escuela de Ingeniería Informática, Universidad de Valparaíso, Valparaíso, 2362905, Chile; Escuela de Ingeniería y Negocios, Universidad Viña del Mar, Viña del Mar, 2572007, Chile; Escuela de Ingeniería Informática, Pontificia Universidad Católica de Valparaíso, Valparaíso, 2362807, Chile";English;Article;Final;"All Open Access; Gold Open Access";Scopus
"Esfandiari A.; Khaloozadeh H.; Farivar F.";A scalable memory-enhanced swarm intelligence optimization method: fractional-order Bat-inspired algorithm;2024;International Journal of Machine Learning and Cybernetics;15;6;1;10.1007/s13042-023-02022-1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179366291&doi=10.1007%2fs13042-023-02022-1&partnerID=40&md5=01f6fde41903c341c1258d5272d39272;"Department of Computer Engineering, Sari Branch, Islamic Azad University, Sari, Iran; Department of Systems and Control, Faculty of Electrical Engineering, K. N. Toosi University of Technology, Tehran, Iran; Department of Computer and Mechatronics Engineering, Science and Research Branch, Islamic Azad University, Tehran, Iran";English;Article;Final;;Scopus
"Ramlochan A.; Ansari A.A.";Vertical Stratification of Chiropterans in Dakama Forest and an Examination of Edge–Interior Habitats in Guyana;2024;Proceedings of the Zoological Society;77;3;0;10.1007/s12595-024-00539-z;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196757016&doi=10.1007%2fs12595-024-00539-z&partnerID=40&md5=d5e062651060af7f972c83da403a3f2b;Department of Biology, University of Guyana, Georgetown, Guyana;English;Article;Final;;Scopus
"Leehr E.J.; Seeger F.R.; Böhnlein J.; Gathmann B.; Straube T.; Roesmann K.; Junghöfer M.; Schwarzmeier H.; Siminski N.; Herrmann M.J.; Langhammer T.; Goltermann J.; Grotegerd D.; Meinert S.; Winter N.R.; Dannlowski U.; Lueken U.";Association between resting-state connectivity patterns in the defensive system network and treatment response in spider phobia—a replication approach;2024;Translational Psychiatry;14;1;1;10.1038/s41398-024-02799-x;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187158501&doi=10.1038%2fs41398-024-02799-x&partnerID=40&md5=10d5362583e7b4bd81fc44c389ca71b5;"Institute for Translational Psychiatry, University of Münster, Münster, Germany; Department of Psychiatry, Psychosomatics, and Psychotherapy, Center for Mental Health, University Hospital of Würzburg, Würzburg, Germany; Department of General Psychiatry, University of Heidelberg, Heidelberg, Germany; Institute of Medical Psychology and Systems Neuroscience, University of Münster, Münster, Germany; Otto-Creutzfeld Center for Cognitive and Behavioral Neuroscience, University of Münster, Münster, Germany; Institute for Clinical Psychology and Psychotherapy, University of Siegen, Siegen, Germany; Institute for Biomagnetism and Biosignalanalysis, University of Münster, Münster, Germany; Institute of Psychology, Unit of Clinical Psychology and Psychotherapy in Childhood and Adolescence, University of Osnabrück, Osnabrück, Germany; Department of Psychology, Humboldt-Universität zu Berlin, Berlin, Germany; German Center for Mental Health (DZPG), partner site Berlin/Potsdam, Berlin, Germany";English;Article;Final;"All Open Access; Gold Open Access";Scopus
"Xiao M.; Chen L.; Feng H.; Peng Z.; Long Q.";Sustainable and robust route planning scheme for smart city public transport based on multi-objective optimization: Digital twin model;2024;Sustainable Energy Technologies and Assessments;65;;1;10.1016/j.seta.2024.103787;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192314532&doi=10.1016%2fj.seta.2024.103787&partnerID=40&md5=82e0d733182d84bbed91ef8a2f0f0dfb;College of Electrical and Civil Engineering, Hunan University, Beijing, China;English;Article;Final;;Scopus
"Hills F.R.; Eruera A.-R.; Hodgkinson-Bean J.; Jorge F.; Easingwood R.; Brown S.H.J.; Bouwer J.C.; Li Y.-P.; Burga L.N.; Bostina M.";Variation in structural motifs within SARSrelated coronavirus spike proteins;2024;PLoS Pathogens;20;5 May;0;10.1371/journal.ppat.1012158;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194761298&doi=10.1371%2fjournal.ppat.1012158&partnerID=40&md5=c32479924fd3d146099708117cd28653;"Department of Microbiology and Immunology, University of Otago, Dunedin, New Zealand; Otago Microscopy and Nano Imaging Unit, University of Otago, Dunedin, New Zealand; ARC Centre for Cryoelectron Microscopy of Membrane Proteins, University of Wollongong, Wollongong, NSW, Australia; Institute of Human Virology, Zhongshan School of Medicine, Sun Yat-sen University, Guangzhou, China";English;Article;Final;"All Open Access; Gold Open Access";Scopus
"B. C S.; A U.; R. S G.";Optimal Planning of PV Sources and D-STATCOM Devices with Network Reconfiguration Employing Modified Ant Lion Optimizer;2024;Energies ;17;10;3;10.3390/en17102238;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194250515&doi=10.3390%2fen17102238&partnerID=40&md5=41ab160c6b405c19c294d16f48aab67f;Electrical and Electronics Engineering, BMSCE, Visvesvaraya Technological University, Karnataka, Belagavi, 590018, India;English;Article;Final;"All Open Access; Gold Open Access";Scopus
