Authors;Title;Year;Journal;Volume;Issue;Cited by;DOI;Link;Affiliations;Language of Original Document;Document Type;Publication Stage;Open Access;Source
"Xue J.; Tan Z.; Dai N.; Lei G.; He C.";Particle Swarm Optimization Bat Algorithm Path Automatically Planning Research for Police Drones in Hilly Cities;2024;Journal of Systems Science and Information;12;1;0;10.21078/JSSI-2023-0055;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186471890&doi=10.21078%2fJSSI-2023-0055&partnerID=40&md5=5c319dfeed885ed151b0959308eb00ae;Chongqing Three Gorges University, Chongqing, 404020, China;English;Article;Final;"All Open Access; Bronze Open Access";Scopus
"Ligo A.B.; Laurindo R.D.S.; Faria L.D.B.; Gregorin R.";Climatic, geographic and anthropogenic factors shape the structure of bat–fruit networks in the Neotropical region;2024;Austral Ecology;49;1;2;10.1111/aec.13328;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152793772&doi=10.1111%2faec.13328&partnerID=40&md5=8345de00ce663cb5d2588e62df48a1d8;"Programa de Pós-Graduação em Ecologia Aplicada, Departamento de Ecologia e Conservação, Instituto de Ciências Naturais, Universidade Federal de Lavras, Minas Gerais, Lavras, CEP 37.200-900, Brazil; Centro de Biodiversidade e Recursos Genéticos, Universidade Federal de Lavras, Minas Gerais, Lavras, CEP 37.200-900, Brazil";English;Article;Final;;Scopus
"Paruvathavardhini J.; Sargunam B.";Stochastic Bat Optimization Model for Secured WSN with Energy-Aware Quantized Indexive Clustering;2023;Journal of Sensors;2023;;5;10.1155/2023/4237198;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161259215&doi=10.1155%2f2023%2f4237198&partnerID=40&md5=99dfe1da373995d47e98dd6fccb011c1;Department of Electronics and Communication Engineering, School of Engineering, Avinashilingam Institute for Home Science and Higher Education for Women, Coimbatore, India;English;Article;Final;"All Open Access; Gold Open Access";Scopus
"Fonseca A.; Zina V.; Fernandes M.R.; Froidevaux J.S.P.; Ferreira M.T.; Duarte G.";Can the habitat Ecological Infrastructure's Diversity Index predict ant and bat biodiversity in Mediterranean agricultural floodplains? A multi-taxon approach using hierarchical modelling;2023;Ecological Indicators;153;;1;10.1016/j.ecolind.2023.110446;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161498798&doi=10.1016%2fj.ecolind.2023.110446&partnerID=40&md5=4e9abfa4f2101d16911d8711b5b77689;"Forest Research Centre (CEF), School of Agriculture, University of Lisbon, Tapada da Ajuda, Lisbon, 1349-017, Portugal; Laboratory for Sustainable Land Use and Ecosystem Services (TERRA), School of Agriculture, University of Lisbon Tapada da Ajuda, Lisbon, 1349-017, Portugal; Biological and Environmental Sciences, Faculty of Natural Sciences, University of Stirling, Stirling, United Kingdom; Centre d'Ecologie et des Sciences de la Conservation (CESCO), Museum National d'Histoire Naturelle, CNRS, Sorbonne-Univ., Concarneau, Paris, France";English;Article;Final;"All Open Access; Gold Open Access";Scopus
"Iannella M.; Masciulli U.; Cerasoli F.; Di Musciano M.; Biondi M.";Assessing future shifts in habitat suitability and connectivity to old-growth forests to support the conservation of the endangered giant noctule;2022;PeerJ;10;;0;10.7717/PEERJ.14446;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147675957&doi=10.7717%2fPEERJ.14446&partnerID=40&md5=4af1f9c3076231a70148b8baa30e4309;Department of Life, Health and Environmental Sciences, Università degli Studi dell’Aquila, L’Aquila, Italy;English;Article;Final;"All Open Access; Gold Open Access; Green Open Access";Scopus
"Prasad C.V.P.R.; Vuyyuru V.A.; Sushma T.; Uppalapati S.L.; Apparao G.";A Novel Energy Aware Clustering Mechanism with Fuzzy Logic in MANET Environment;2022;International Journal on Recent and Innovation Trends in Computing and Communication;10;10;3;10.17762/ijritcc.v10i10.5740;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143742391&doi=10.17762%2fijritcc.v10i10.5740&partnerID=40&md5=47ce843c516ea3ea6ccfa62c435949e7;"Department of CSE, Malla Reddy Engineering College for Women, Hyderabad, India; Department of CSE, Koneru Lakshmaiah Education Foundation, AP, Vaddeswaram, 522502, India; Department of ECE, Prasad v Potluri Siddhartha Institute of Technology, Kanuru, A.P, Vijayawada, 520007, India; Department of CSE, VFSTR, Deemed to Be University, AP, Vadlamudi, Guntur, 522213, India; Department of CSE, GITAM University, Visakhapatnam, India";English;Article;Final;"All Open Access; Gold Open Access";Scopus
"Dzeverin I.; Vertsimakha O.";Restructuring of Skull Modularity Pattern in Evolution Within Myotis myotis–Myotis blythii Species Group (Vespertilionidae, Chiroptera, Mammalia);2024;Evolutionary Biology;;;1;10.1007/s11692-024-09638-3;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198723535&doi=10.1007%2fs11692-024-09638-3&partnerID=40&md5=82045d0f7602b461f0a0f9abe751ff05;Schmalhausen Institute of Zoology, Bohdan Khmelnytskyi str. 15, Kyiv, 01054, Ukraine;English;Article;Article in press;;Scopus
"Ito F.; Lilley T.; Twort V.G.; Bernard E.";High genetic connectivity among large populations of Pteronotus gymnonotus in bat caves in Brazil and its implications for conservation;2022;Frontiers in Ecology and Evolution;10;;2;10.3389/fevo.2022.934633;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140226166&doi=10.3389%2ffevo.2022.934633&partnerID=40&md5=27ceba1c05cd3954484622d4c5742b93;"Laboratório de Ciência Aplicada à Conservação da Biodiversidade, Departamento de Zoologia, Universidade Federal de Pernambuco, Recife, Brazil; Programa de Pós-Graduação em Biologia Animal, Universidade Federal de Pernambuco, Recife, Brazil; Bat Lab Finland, Finnish Museum of Natural History, University of Helsinki, Helsinki, Finland";English;Article;Final;"All Open Access; Gold Open Access";Scopus
"Sathya T.; Sudha S.";OQCNN: optimal quantum convolutional neural network for classification of facial expression;2023;Neural Computing and Applications;35;12;4;10.1007/s00521-022-08161-w;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147375095&doi=10.1007%2fs00521-022-08161-w&partnerID=40&md5=215f38f42728f6cdce7f053515398474;"Department of Computer Science and Business Systems, Sri Sairam Engineering College, Chennai, India; Department of Electronics and Communication Engineering, Easwari Engineering College, Chennai, India";English;Article;Final;;Scopus
"Sha M.; Alqahtani A.; Alsubai S.; Dutta A.K.";Modified Meta Heuristic BAT with ML Classifiers for Detection of Autism Spectrum Disorder;2024;Biomolecules;14;1;0;10.3390/biom14010048;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183201127&doi=10.3390%2fbiom14010048&partnerID=40&md5=040937c9817bcb290c215bcd4876078b;"Department of Software Engineering, College of Computer Engineering and Sciences, Prince Sattam Bin Abdulaziz University, Al-Kharj, 16278, Saudi Arabia; Department of Computer Science, College of Computer Engineering and Sciences, Prince Sattam Bin Abdulaziz University, Al-Kharj, 16278, Saudi Arabia; Department of Computer Science and Information Systems, College of Applied Sciences, Almaarefa University, Riyadh, 11597, Saudi Arabia";English;Article;Final;"All Open Access; Gold Open Access; Green Open Access";Scopus
